CIS #,Profile,Recommendation,Status,Policy,Setting definition ID,Configured value,vs v4.0.0,Notes
4.5.10,L2,Ensure 'MSS: (TcpMaxDataRetransmissions IPv6) How many times unacknowledged data is retransmitted' is set to 'Enabled: 3' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_mss-legacy_pol_mss_tcpmaxdataretransmissionsipv6,"MSS: (TcpMaxDataRetransmissions IPv6) How many times unacknowledged data is retransmitted (3 recommended, 5 is default) = Enabled [TcpMaxDataRetransmissions (Device) = 3]",New,
4.5.11,L2,Ensure 'MSS: (TcpMaxDataRetransmissions) How many times unacknowledged data is retransmitted' is set to 'Enabled: 3' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_mss-legacy_pol_mss_tcpmaxdataretransmissions,"MSS: (TcpMaxDataRetransmissions) How many times unacknowledged data is retransmitted (3 recommended, 5 is default) = Enabled [TcpMaxDataRetransmissions (Device) = 3]",New,
4.5.12,L1,Ensure 'MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning' is set to 'Enabled: 90% or less' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_mss-legacy_pol_mss_warninglevel,MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning = Enabled [WarningLevel (Device) = 90%],New,
4.6.4.1,L1,Ensure 'Turn off multicast name resolution' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_dnsclient_turn_off_multicast,Turn off multicast name resolution = Enabled,New,
4.6.8.1,L2,Ensure 'Turn on Mapper I/O (LLTDIO) driver' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_linklayertopologydiscovery_lltd_enablelltdio,Turn on Mapper I/O (LLTDIO) driver = Disabled,New,
4.6.8.2,L2,Ensure 'Turn on Responder (RSPNDR) driver' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_linklayertopologydiscovery_lltd_enablerspndr,Turn on Responder (RSPNDR) driver = Disabled,New,
4.6.9.1,L1,Ensure 'Prohibit installation and configuration of Network Bridge on your DNS domain network' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_connectivity_prohibitinstallationandconfigurationofnetworkbridge,Prohibit installation and configuration of Network Bridge on your DNS domain network = Enabled,Unchanged,
4.6.9.2,L1,Ensure 'Prohibit use of Internet Connection Sharing on your DNS domain network' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_networkconnections_nc_showsharedaccessui,Prohibit use of Internet Connection Sharing on your DNS domain network = Enabled,New,
4.6.9.3,L1,Ensure 'Require domain users to elevate when setting a network's location' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_networkconnections_nc_stddomainusersetlocation,Require domain users to elevate when setting a network's location = Enabled,Unchanged,
4.6.11.1,L1,"Ensure 'Hardened UNC Paths' is set to 'Enabled, with ""Require Mutual Authentication"", ""Require Integrity"", and “Require Privacy” set for all NETLOGON and SYSVOL shares' (Automated)",In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_connectivity_hardeneduncpaths,"Hardened UNC Paths = Enabled [Hardened UNC Paths: (Device) = Name = '\\\\*\\NETLOGON'; Value = 'RequireMutualAuthentication=1, RequireIntegrity=1, RequirePrivacy=1' | Name = '\\\\*\\SYSVOL'; Value = 'RequireMutualAuthentication=1, RequireIntegrity=1, RequirePrivacy=1']",New,
4.6.17.1,L2,Ensure 'Configuration of wireless settings using Windows Connect Now' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_windowsconnectnow_wcn_enableregistrar,Configuration of wireless settings using Windows Connect Now = Disabled,New,
4.6.17.2,L2,Ensure 'Prohibit access of the Windows Connect Now wizards' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_windowsconnectnow_wcn_disablewcnui_2,Prohibit access of the Windows Connect Now wizards = Enabled,New,
4.6.18.1,L1,Ensure 'Minimize the number of simultaneous connections to the Internet or a Windows Domain' is set to 'Enabled: 3 = Prevent Wi-Fi when on Ethernet' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_wcm_wcm_minimizeconnections,Minimize the number of simultaneous connections to the Internet or a Windows Domain = Enabled [Minimize Policy Options (Device) = 3 = Prevent Wi-Fi when on Ethernet],Unchanged,
4.6.18.2,L1,Ensure 'Prohibit connection to non-domain networks when connected to domain authenticated network' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_windowsconnectionmanager_prohitconnectiontonondomainnetworkswhenconnectedtodomainauthenticatednetwork,Prohibit connection to non-domain networks when connected to domain authenticated network = Enabled,Unchanged,
4.7.1,L1,Ensure 'Allow Print Spooler to accept client connections' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Printing - v5.0.0,device_vendor_msft_policy_config_admx_printing2_registerspoolerremoterpcendpoint,Allow Print Spooler to accept client connections = Disabled,Unchanged,
4.7.2,L1,Ensure 'Configure Redirection Guard: Redirection Guard Options' is set to 'Enabled: Redirection Guard Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Printing - v5.0.0,device_vendor_msft_policy_config_printers_configureredirectionguardpolicy,Configure Redirection Guard = Enabled [Redirection Guard Options (Device) = Redirection Guard Enabled],Unchanged,
4.7.3,L1,Ensure 'Configure RPC connection settings: Protocol to use for outgoing RPC connections' is set to 'Enabled: RPC over TCP' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Printing - v5.0.0,device_vendor_msft_policy_config_printers_configurerpcconnectionpolicy,Configure RPC connection settings = Enabled [Protocol to use for outgoing RPC connections: (Device) = RPC over TCP; Use authentication for outgoing RPC connections: (Device) = Default],Unchanged,
4.7.4,L1,Ensure 'Configure RPC connection settings: Use authentication for outgoing RPC connections' is set to 'Enabled: Default' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Printing - v5.0.0,device_vendor_msft_policy_config_printers_configurerpcconnectionpolicy,Configure RPC connection settings = Enabled [Protocol to use for outgoing RPC connections: (Device) = RPC over TCP; Use authentication for outgoing RPC connections: (Device) = Default],Unchanged,
4.7.5,L1,Ensure 'Configure RPC listener settings: Authentication protocol to use for incoming RPC connections:' is set to 'Enabled: Negotiate' or higher (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Printing - v5.0.0,device_vendor_msft_policy_config_printers_configurerpclistenerpolicy,Configure RPC listener settings = Enabled [Protocols to allow for incoming RPC connections: (Device) = RPC over TCP; Authentication protocol to use for incoming RPC connections: (Device) = Negotiate],Unchanged,
4.7.6,L1,Ensure 'Configure RPC listener settings: Protocols to allow for incoming RPC connections' is set to 'Enabled: RPC over TCP' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Printing - v5.0.0,device_vendor_msft_policy_config_printers_configurerpclistenerpolicy,Configure RPC listener settings = Enabled [Protocols to allow for incoming RPC connections: (Device) = RPC over TCP; Authentication protocol to use for incoming RPC connections: (Device) = Negotiate],Unchanged,
4.7.7,L1,Ensure 'Configure RPC over TCP port: RPC over TCP port:' is set to 'Enabled: 0' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Printing - v5.0.0,device_vendor_msft_policy_config_printers_configurerpctcpport,Configure RPC over TCP port = Enabled [RPC over TCP port: (Device) = 0],Unchanged,
4.7.8,L1,Ensure 'Limits print driver installation to Administrators' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Printing - v5.0.0,device_vendor_msft_policy_config_printers_restrictdriverinstallationtoadministrators,Limits print driver installation to Administrators = Enabled,Unchanged,
4.7.9,L1,Ensure 'Manage processing of Queue-specific files: Manage processing of Queue-Specific files' is set to 'Enabled: Limit Queue-specific files to Color profiles' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Printing - v5.0.0,device_vendor_msft_policy_config_printers_configurecopyfilespolicy,Manage processing of Queue-specific files = Enabled [Manage processing of Queue-Specific files: (Device) = Limit Queue-specific files to Color profiles],Unchanged,
4.7.10,L1,Ensure 'Point and Print Restrictions: When installing drivers for a new connection' is set to 'Enabled: Show warning and elevation prompt' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Printing - v5.0.0,device_vendor_msft_policy_config_printers_pointandprintrestrictions,Point and Print Restrictions = Enabled [Users can only point and print to these servers: (Device) = True; Enter fully qualified server names separated by semicolons (Device) = ''; Users can only point and print to machines in their forest (Device) = False; When installing drivers for a new connection: (Device) = Show warning and elevation prompt; When updating drivers for an existing connection: (Device) = Show warning and elevation prompt],Unchanged,
4.7.11,L1,Ensure 'Point and Print Restrictions: When updating drivers for an existing connection' is set to 'Enabled: Show warning and elevation prompt' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Printing - v5.0.0,device_vendor_msft_policy_config_printers_pointandprintrestrictions,Point and Print Restrictions = Enabled [Users can only point and print to these servers: (Device) = True; Enter fully qualified server names separated by semicolons (Device) = ''; Users can only point and print to machines in their forest (Device) = False; When installing drivers for a new connection: (Device) = Show warning and elevation prompt; When updating drivers for an existing connection: (Device) = Show warning and elevation prompt],Unchanged,
4.10.4.1,L1,Ensure 'Include command line in process creation events' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Audit and Event Logging - v5.0.0,device_vendor_msft_policy_config_admx_auditsettings_includecmdline,Include command line in process creation events = Enabled,Unchanged,
4.10.5.1,L1,Ensure 'Encryption Oracle Remediation' is set to 'Enabled: Force Updated Clients' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_credssp_allowencryptionoracle,Encryption Oracle Remediation = Enabled [Protection Level: (Device) = Force Updated Clients],Unchanged,
4.10.5.2,L1,Ensure 'Remote host allows delegation of non-exportable credentials' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_credentialsdelegation_remotehostallowsdelegationofnonexportablecredentials,Remote host allows delegation of non-exportable credentials = Enabled,Unchanged,
4.10.9.1.1,BL,Ensure 'Prevent installation of devices using drivers that match these device setup classes' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - DMA and Device Installation Protection (BL) - v5.0.0,device_vendor_msft_policy_config_deviceinstallation_preventinstallationofmatchingdevicesetupclasses,"Prevent installation of devices using drivers that match these device setup classes = Enabled [Prevented Classes = {d48179be-ec20-11d1-b6b8-00c04fa372a7}, {7ebefbc0-3200-11d2-b4c2-00a0c9697d07}, {c06ff265-ae09-48f0-812c-16753d7cba83}, {6bdd1fc1-810f-11d0-bec7-08002be2092f}; Also apply to matching devices that are already installed. = True]",New,
4.10.9.1.2,BL,Ensure 'Prevent installation of devices using drivers that match these device setup classes: Also apply to matching devices that are already installed.' is set to 'True' (checked) (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - DMA and Device Installation Protection (BL) - v5.0.0,device_vendor_msft_policy_config_deviceinstallation_preventinstallationofmatchingdevicesetupclasses,"Prevent installation of devices using drivers that match these device setup classes = Enabled [Prevented Classes = {d48179be-ec20-11d1-b6b8-00c04fa372a7}, {7ebefbc0-3200-11d2-b4c2-00a0c9697d07}, {c06ff265-ae09-48f0-812c-16753d7cba83}, {6bdd1fc1-810f-11d0-bec7-08002be2092f}; Also apply to matching devices that are already installed. = True]",New,
4.10.9.1.3,BL,Ensure 'Prevent installation of devices using drivers that match these device setup classes: Prevent installation of devices using drivers for these device setup' is set to 'IEEE 1394 device setup classes' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - DMA and Device Installation Protection (BL) - v5.0.0,device_vendor_msft_policy_config_deviceinstallation_preventinstallationofmatchingdevicesetupclasses,"Prevent installation of devices using drivers that match these device setup classes = Enabled [Prevented Classes = {d48179be-ec20-11d1-b6b8-00c04fa372a7}, {7ebefbc0-3200-11d2-b4c2-00a0c9697d07}, {c06ff265-ae09-48f0-812c-16753d7cba83}, {6bdd1fc1-810f-11d0-bec7-08002be2092f}; Also apply to matching devices that are already installed. = True]",New,
4.10.9.2,L1,Ensure 'Prevent automatic download of applications associated with device metadata' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_deviceinstallation_preventdevicemetadatafromnetwork,Prevent device metadata retrieval from the Internet = Enabled,New,
4.10.13.1,L1,"Ensure 'Boot-Start Driver Initialization Policy' is set to 'Enabled: Good, unknown and bad but critical' (Automated)",In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_system_bootstartdriverinitialization,"Boot-Start Driver Initialization Policy = Enabled [Choose the boot-start drivers that can be initialized: = Good, unknown and bad but critical]",Unchanged,
4.10.19.1,L1,Ensure 'Continue experiences on this device' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_admx_grouppolicy_enablecdp,Continue experiences on this device = Disabled,New,
4.10.20.1.1,L2,Ensure 'Turn off access to the Store' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Store - D - Configuration - v5.0.0,device_vendor_msft_policy_config_admx_icm_shellnousestoreopenwith_2,Turn off access to the Store = Enabled,New,
4.10.20.1.2,L1,Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_connectivity_disabledownloadingofprintdriversoverhttp,Turn off downloading of print drivers over HTTP = Enabled,Unchanged,
4.10.20.1.3,L2,Ensure 'Turn off Help Experience Improvement Program (User)' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - U - Location and Privacy - v5.0.0,user_vendor_msft_policy_config_admx_helpandsupport_hpimplicitfeedback,Turn off Help Experience Improvement Program (User) = Enabled,New,User-scoped setting (only user variant exists in the catalog)
4.10.20.1.4,L2,Ensure 'Turn off Internet Connection Wizard if URL connection is referring to Microsoft.com' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_admx_icm_nc_exitonisp,Turn off Internet Connection Wizard if URL connection is referring to Microsoft.com = Enabled,New,
4.10.20.1.5,L1,Ensure 'Turn off Internet download for Web publishing and online ordering wizards' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_connectivity_disableinternetdownloadforwebpublishingandonlineorderingwizards,Turn off Internet download for Web publishing and online ordering wizards = Enabled,Unchanged,
4.10.20.1.6,L2,Ensure 'Turn off printing over HTTP' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_connectivity_diableprintingoverhttp,Turn off printing over HTTP = Enabled,New,
4.10.20.1.7,L2,Ensure 'Turn off Registration if URL connection is referring to Microsoft.com' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_admx_icm_nc_noregistration,Turn off Registration if URL connection is referring to Microsoft.com = Enabled,New,
4.10.20.1.8,L2,Ensure 'Turn off Search Companion content file updates' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_admx_icm_searchcompanion_disablefileupdates,Turn off Search Companion content file updates = Enabled,New,
4.10.20.1.9,L2,"Ensure 'Turn off the ""Order Prints"" picture task' is set to 'Enabled' (Automated)",In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_admx_icm_shellremoveorderprints_2,"Turn off the ""Order Prints"" picture task = Enabled",New,
4.10.20.1.10,L2,"Ensure 'Turn off the ""Publish to Web"" task for files and folders' is set to 'Enabled' (Automated)",In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_admx_icm_shellremovepublishtoweb_2,"Turn off the ""Publish to Web"" task for files and folders = Enabled",New,
4.10.20.1.11,L2,Ensure 'Turn off the Windows Messenger Customer Experience Improvement Program' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_admx_icm_winmsg_noinstrumentation_2,Turn off the Windows Messenger Customer Experience Improvement Program = Enabled,New,
4.10.20.1.12,L2,Ensure 'Turn off Windows Customer Experience Improvement Program' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_admx_icm_ceipenable,Turn off Windows Customer Experience Improvement Program = Enabled,New,
4.10.20.1.13,L2,Ensure 'Turn off Windows Error Reporting' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Location and Privacy - v5.0.0,device_vendor_msft_policy_config_admx_icm_pch_donotreport,Turn off Windows Error Reporting = Enabled,New,
4.10.23.1,L2,Ensure 'Support device authentication using certificate' is set to 'Enabled: Automatic' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_kerberos_devicepkinitenabled,Support device authentication using certificate = Enabled [Device authentication behavior using certificate: (Device) = Automatic],New,
4.10.24.1,L1,Ensure 'Allow Custom SSPs and APs to be loaded into LSASS' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_localsecurityauthority_allowcustomsspsaps,Allow Custom SSPs and APs to be loaded into LSASS = Disabled,New,
4.10.25.1,L2,Ensure 'Disallow copying of user input methods to the system account for sign-in' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_admx_globalization_blockuserinputmethodsforsignin,Disallow copying of user input methods to the system account for sign-in = Enabled,New,
4.10.26.1,L1,Ensure 'Block user from showing account details on sign-in' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_admx_logon_blockuserfromshowingaccountdetailsonsignin,Block user from showing account details on sign-in = Enabled,New,
4.10.26.2,L1,Ensure 'Do not display network selection UI' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_windowslogon_dontdisplaynetworkselectionui,Do not display network selection UI = Enabled,New,
4.10.26.3,L1,Ensure 'Do not enumerate connected users on domain- joined computers' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_admx_logon_dontenumerateconnectedusers,Do not enumerate connected users on domain-joined computers = Enabled,New,
4.10.26.4,L1,Ensure 'Enumerate local users on domain-joined computers' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_windowslogon_enumeratelocalusersondomainjoinedcomputers,Enumerate local users on domain-joined computers = Disabled,New,
